,imdb_id,rotten_tomatoes_id,omdb_plot,Polarity_full_string
108,tt2054790,m/age_of_uprising_the_legend_of_michael_kohlhaas_2014,"In the 16th century in the Cévennes, a horse dealer by the name of Michael Kohlhaas leads a happy family life. When a lord treats him unjustly, he raises an army and puts the country to fire and sword in order to have his rights restored.",0.8
124,tt0424435,m/shake_hands_with_the_devil_the_journey_of_romeo_dallaire,"The story of Canadian Lt. Gen. Roméo Dallaire, and his controversial command of the United Nations mission to Rwanda during the 1994 genocide.",0.55
199,tt2084970,m/the_imitation_game,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",0.7000000000000001
260,tt0065889,m/investigation_of_a_citizen_above_suspicion,"A chief of detectives, homicide section, kills his mistress and deliberately leaves clues to prove his own responsibility for the crime.",0.6
261,tt0423853,m/be_here_to_love_me_a_film_about_townes_van_zandt,Be Here to Love Me - Chronicles the fascinating and often turbulent life of Townes Van Zandt.,0.6
404,tt3040964,m/the_jungle_book_2016,"The man-cub Mowgli flees The jungle after a threat from the Tiger Shere Khan. Guided by Bagheera the panther and the bear Baloo, Mowgli embarks on a journey of self-discovery, though he also meets creatures who don't have his best interests at heart.",1.0
542,tt2823054,m/mike_and_dave_need_wedding_dates,"Hard-partying brothers Mike (Adam Devine) and Dave (Zac Efron) place an online ad to find the perfect dates (Anna Kendrick, Aubrey Plaza) for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves outsmarted and out-partied by the uncontrollable duo.",0.55
571,tt0450405,m/vampires_assistant,"Teenager Darren Shan is an excellent student and the pride and joy of his perfect middle-class family; his best friend is the reckless Steve. When they receive a flyer with an advertisement for a freak show, they sneak to the theater to see the attractions. The ringmaster is a vampire called Larten Crepsley, that has a lethal spider. After the show, Steve tells Darren to go home. However he returns and overhears Steve unsuccessfully trying to convince Larten to transform him into a vampire. Darren steals Larten's spider which bites Steve later and he seeks out Larten asking for an antidote for his friend. Larten proposes a deal to Darren.",0.76
639,tt5275838,m/mapplethorpe_look_at_the_pictures,An examination of the life and work of the revered and controversial photographer Robert Mapplethorpe.,0.55
640,tt0087428,m/hotel_new_hampshire,The film talks about a family that weathers all sorts of disasters and keeps going in spite of it all. It is noted for its wonderful assortment of oddball characters.,1.0
768,tt1587156,m/gekijouban_fatestay_night_unlimited_blade_works,The war for the Holy Grail is on. Master/Servant team pairs made up of Magi and the summoned spirits of legendary warriors do battle to the death in their quest for the right to claim the prize. The winning team claims the Grail and it's power to grant each of them a wish.,0.5952380952380952
785,tt0120032,m/romy_and_micheles_high_school_reunion,"Romy and Michele have been through it all, including being tortured by the Popular crowd when in high school. When they receive word of a 10 year reunion, they come to realize their lives aren't as impressive as they'd like them to be. Instead of staying home they go to the reunion with business outfits, cell phones, and one heck of a bogus success story.",0.515
869,tt0313254,m/barbie-and-the-rockers-out-of-this-world-barbie-and-the-rock-stars-out-of-this-world,"Rock sensation Barbie and her band The Rockers, beloved by everyone all around the world, decide to do something no band has ever done before - preform a charity rock concert in outer space.",0.7
975,tt0060558,m/jesse_james_meets_frankensteins_daughter,"Legendary outlaw of the Old West Jesse James, on the run from Marshal MacPhee, hides out in the castle of Baron Frankenstein's granddaughter Maria, who proceeds to transform Jesse's slow-witted pal Hank into a bald zombie, which she names Igor.",0.55
1016,tt1485796,m/the_greatest_showman_on_earth,"Celebrates the birth of show business, and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.",0.6
1148,tt0189072,m/scoobydoo_and_the_reluctant_werewolf,"Shaggy is turned into a werewolf, and it's up to Scooby, Scrappy and his girlfriend to help him win the contest.",0.8
1196,tt0365830,m/tenacious_d_in_the_pick_of_destiny,"This is the story of a friendship that changes the course of rock history forever, of the fateful collision of minds between JB and KG that led to the creation of the precedent-shattering band Tenacious D, and of the two heroes' quest to find the fabled Guitar Pick Of Destiny...",0.7
1207,tt0158622,m/flintstones_in_viva_rock_vegas,"The Flintstones are at it again. The Flintstones and the Rubbles head for Rock Vegas with Fred hoping to court the lovely Wilma. Nothing will stand in the way of love, except for the conniving Chip Rockefeller who is the playboy born in Baysville but who has made it in the cutthroat town of Rock Vegas. Will Fred win Wilma's love?",0.575
1436,tt4569240,m/a_monster_with_a_thousand_heads,"When her insurance company refuses to approve the care her husband needs to survive, Sonia Bonet (Jan Raluy) takes things into her own hands. Up against an unyielding bureaucracy and disinterested workers, she is pushed to her breaking point: with her son in tow, she attempts to fight the system.",0.6
1577,tt0004288,m/making-a-living-a-busted-johnnydoing-his-besttake-my-picturetroubles,"An out-of-work swindler takes a job as a reporter. After witnessing a car go over cliff, he grabs a rival reporter's camera and races to the newspaper office to enter the photo as his own. His rival is delayed when he gets caught in a woman's bedroom by her jealous husband. The swindler follows the distribution of the paper containing his 'scoop' around town where he is once again chased by the rival reporter. Both end up on the cow-catcher of a streetcar.",0.6
2028,tt0120598,m/barney_barneys_great_adventure_the_movie,"Mom and dad dump son Cody, daughter Abby, her best friend Marcella and a baby on the farm with Grandpa and Grandma. Purple dinosaur Barney soon appears to entertain kids, and when a large colorful egg deposited on a farm by a shooting star is accidentally carted off, Barney and kids start their chase for it.",0.5047619047619047
2102,tt0038854,m/1016591-postman_always_rings_twice,"Nick Smith, the middle-aged proprietor of a roadside restaurant, hires drifter Frank Chambers as a handyman. Frank eventually begins an affair with Nick's beautiful wife Cora, who talks Frank into helping her kill Nick, by ""accident."" But the best laid plans......",0.925
2191,tt1156067,m/the-lightkeepers,"Set in the year 1912 on Cape Cod, a lighthouse keeper who has disavowed any association with females, must deal with the appearance of two attractive women who move into a nearby cottage for the summer.",0.8
2273,tt3606888,m/a_street_cat_named_bob,"Based on the international best selling book. The true feel good story of how James Bowen, a busker and recovering drug addict, had his life transformed when he met a stray ginger cat.",0.5125
2384,tt0367665,m/doing-time-doing-vipassana,"This is the story of an ancient meditation technique named Vipassana, which shows people how to take control of their lives and channel them toward their own good.It is the story of a ...",0.6
2542,tt2152198,m/the_perverts_guide_to_ideology,"The sequel to The Pervert's Guide to Cinema sees the reunion of brilliant philosopher Slavoj Zizek with filmmaker Sophie Fiennes, now using their inventive interpretation of moving pictures to examine ideology - the collective fantasies that shape our beliefs and practices.",0.7
2821,tt0775539,m/stomp_the_yard,"After the death of his brother, an expert street dancer goes to Georgia to attend Truth University. But his efforts to get an education and woo the girl he likes are sidelined when he joins in his fraternity's effort to win a step dancing competition.",0.8
2855,tt0068178,m/weekend_of_a_champion_2013,"Filmmaker Roman Polanski spends a weekend with world champion driver Jackie Stewart as he attempts to win the 1971 Monaco Grand Prix, offering an extraordinarily rare glimpse into the life of a gifted athlete at the height of his powers.",0.525
3028,tt2788710,m/the_interview_2014,"In the action-comedy The Interview, Dave Skylark (James Franco) and his producer Aaron Rapoport (Seth Rogen) run the popular celebrity tabloid TV show ""Skylark Tonight."" When they discover that North Korean dictator Kim Jong-un is a fan of the show, they land an interview with him in an attempt to legitimize themselves as journalists. As Dave and Aaron prepare to travel to Pyongyang, their plans change when the CIA recruits them, perhaps the two least-qualified men imaginable, to assassinate Kim Jong-un.",0.6
3422,tt1407084,m/twelve-2008,"A young drug dealer watches as his high-rolling life is dismantled in the wake of his cousin's murder, which sees his best friend arrested for the crime.",0.55
3443,tt0760329,m/water_horse,A boy finds an interesting egg. His curiosity leads him to protect it and want to figure out what will come out of it. He didn't realize that it would turn into something magical. The boy and the Water horse grow a strong relationship together in this wonderful story.,0.6083333333333334
3542,tt0077474,m/driver,"""The Driver"" is a specialist in a rare business: he drives getaway cars in robberies. His exceptional talent prevented him from being caught yet. After another successful flight from the police, a self-assured detective makes it his primary goal to catch the Driver. He promises remission of punishment to a gang if they help to convict him in a set-up robbery. The Driver seeks help from ""The Player"" (Isabelle) to mislead the detective.",0.5291666666666667
3565,tt0098258,m/say_anything,High school senior Lloyd Dobler wants nothing more than to go out with beautiful and intelligent Diane Court. Lloyd attempts to win her heart over the objections of her over-protective father before Diane leaves for a scholarship in England.,0.5516666666666666
3758,tt0925248,m/1174399-in_the_shadow_of_the_moon,"In the 1960s, US President John F Kennedy proposed landing a man on the moon before the decade was finished. This film has interviews with most of the surviving astronauts of the Apollo program who were making ready to make that great voyage with an army of experts determined to make the endeavor possible. Through training, tragedy and triumph, we follow the greatest moments of one of Humanity's great achievements.",0.5499999999999999
3790,tt2406252,m/venus_in_fur,An actress attempts to convince a director how she's perfect for a role in his upcoming production.,1.0
4001,tt1440292,m/submarine-2010,"Precocious Oliver struggles with being popular in school but when a dark-haired beauty takes interest in him, he's determined to become the best boyfriend in the world. Meanwhile, his parents' already rocky relationship is threatened when his mother's ex-boyfriend moves in next door. Oliver makes some unorthodox plans to ensure that his parents stay together and that Jordana still likes him.",0.5333333333333333
4134,tt2084098,m/starry_starry_night_2012,"Don McLean performs his classic folk/rock repertoire in the beautiful Paramount Theatre in Austin, Texas. In a one-of-a-kind celebratory performance, he is backed by an orchestra and joined onstage by Nanci Griffith for two songs.",0.5083333333333333
4402,tt1193631,m/step_up_3d,"A tight-knit group of New York City street dancers, including Luke (Malambri) and Natalie (Vinson), team up with NYU freshman Moose (Sevani), and find themselves pitted against the world's best hip hop dancers in a high-stakes showdown that will change their lives forever.",0.5681818181818181
4415,tt0120008,m/replacement_killers,"John Lee is the best hitman money can buy. But when John refuses to kill because of the seven year-old son of his target, John's bosses send someone after John to kill him and then take his place in the ring of hitmen. John then teams up with Meg Coburn to help him escape these ""Replacement Killers.""",1.0
4464,tt0178266,m/la-bella-del-alhambra-the-beauty-of-the-alhambra,Story shows the genesis of the career and the rise of Esther the most beloved actress of most popular theater in Havana at the turn of the 19th century.,0.575
4492,tt0052130,m/retour_de_manivelle_2011,What do you do when you want to commit suicide whereas you have just had the suicide clause cancelled from your insurance contract ? Just ask your wife ! What do you do when the attractive ...,0.8
4519,tt0300195,m/mickeys-magical-christmas-snowed-in-at-the-house-of-mouse,"After everyone is snowed in at the House of Mouse, Mickey suggests they throw their own Christmas party. Everyone is happy, except for Donald who just isn't in to the Christmas spirit. So Mickey shows a series of cartoons that show just what Christmas is all about. It features a star studded cast of Disney characters from everyone's favorite animated Disney movies.",0.6333333333333333
4567,tt2425618,m/kirikou_et_les_hommes_et_les_femmes,"Once again, Kirikou's noble Grandfather tell us more of his grandson's untold adventures.",0.55
4606,tt1588398,m/771239978,"Lucy is a university student who is working a number of jobs. She volunteers at a research lab, works at a coffee shop, and as a photocopy clerk in an office. She responds to an advertisement and embarks on an erotic freelance job in which she is required to sleep in bed alongside paying customers.",0.7
4610,tt0117873,m/tell-the-truth-and-run-george-seldes-and-the-american-press,"The profile of controversial journalist George Seldes and a piercing examination of America's news media. Narrated by Susan Sarandon, with readings of writings by Ed Asner, this Academy ...",0.55
4652,tt0245547,m/villalobos-uma-vida-de-paixao-villalobos-a-life-of-passion,"The film tells the story of an intuitive, adventurous man who loved his country and being Brazilian. This man fought to be loyal to himself. His music is a transparent portrait of his ...",0.5111111111111111
4895,tt1185266,m/stan_helsing_a_parody,"It's Halloween night, and slacker video clerk Stan Helsing along with his insanely sexy ex-girlfriend , best buddy and an exotic dancer/'massage therapist' - detours into a town cursed by the biggest monsters in movie history: Freddy, Jason , Pinhead , Leatherface , Chucky , & Michael Myers.",0.6666666666666666
4908,tt0177971,m/perfect_storm,"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure.",1.0
4963,tt0841032,m/10009063-perfect_holiday,"Laughter, love and just a hint of magic make for 'The Perfect Holiday', a fun-filled comedy starring Morris Chestnut, Gabrielle Union, Charlie Murphy, Katt Williams, Faizon Love, Terrence Howard and Queen Latifah. All Nancy Taylor(Union) wants for Christmas is to meet a nice man. So when her little girl shares her smitten wish with a Mall Santa, Benjamin Armstrong(Chestnut), he does his best to make her dreams come true in this delightful family treat for the whole family to enjoy!",0.5135416666666667
5103,tt0355295,m/brothers_grimm,"Folklore collectors and con artists, Jake and Will Grimm, travel from village to village pretending to protect townsfolk from enchanted creatures and performing exorcisms. They are put to the test, however, when they encounter a real magical curse in a haunted forest with real magical beings, requiring genuine courage.",0.6333333333333333
5113,tt0075223,m/1019017-silver_streak,"A somewhat daffy book editor on a rail trip from Los Angeles to Chicago thinks that he sees a murdered man thrown from the train. When he can find no one who will believe him, he starts doing some investigating of his own. But all that accomplishes is to get the killer after him.",0.6
5261,tt1326223,m/god_went_surfing_with_the_devil_2010,A breathtaking look at the Israel-Gaza conflict through the lens of surfing.,1.0
5270,tt0107563,m/meteor_man,"One night Jefferson Reed gets hit in the chest by a souped-up chunk of meteor. So he can fly, but he's scared of heights. He can master the information in any book ... for about fifteen minutes. Now his friends and family want him to protect their community from the dreaded Golden Lords.",0.55
5329,tt1876261,m/771313791,1970's pop culture icons Danny Bonaduce and Barry Williams face off in the hunt for the legendary mountain creature.,1.0
5491,tt0499274,m/myyran-parhaat-ystavat-koiranpentu-ja-hepokatti,He just wanted to be a good man..,0.7
5502,tt0049665,m/reach_for_the_sky,The true story of airman Douglas Bader who overcame the loss of both legs in a 1931 flying accident to become a successful fighter pilot and wing leader during World War II.,0.55
5633,tt0035431,m/this-above-all,"Although she comes from an aristocratic family, beautiful Prudence Cathaway defies convention by joining the WAAFs and becoming romantically involved with an AWOL soldier.",0.65
5735,tt1600207,m/the_eye_of_the_storm,"Elizabeth Hunter controls all in her life - society, her staff, her children; but the once great beauty will now determine her most defiant act as she chooses her time to die.",0.65
5790,tt0092746,m/cherry_2000,"In the year 2017, a rich man travels to the ends of the earth to find that the perfect woman is always under his nose. When successful businessman Sam Treadwell finds that his animatronic wife, Cherry model 2000 has shorted out, he hires sexy renegade tracker E. Johnson (Melanie Griffith) to find her exact duplicate. But as their journey to replace his perfect mate leads them into the treacherous and lawless region of The Zone, Treadwell learns the hard way that the perfect woman is made not of computer chips and diodes, but of real flesh and blood.",0.5314814814814816
5812,tt3068194,m/love_and_friendship,"Set in the 1790s, Love and Friendship centers on beautiful widow Lady Susan Vernon, who has come to the estate of her in-laws to wait out colorful rumors about her dalliances circulating through polite society. Whilst there, she decides to secure a husband for herself and her rather reluctant debutante daughter, Frederica.",0.5125000000000001
